id,v_out_id,v_in_id,is_interior,length,line_tension,left_dbond,right_dbond,conj_dbond,dbond_face
0,57,53,True,0.09593549416777565,0.12,1,5,204,0
1,53,54,True,0.6563366549604381,0.12,2,0,121,0
2,54,45,True,0.6392685650922796,0.12,3,1,155,0
3,45,30,True,0.44902609240425667,0.12,4,2,1774,0
4,30,56,True,0.43619657647196114,0.12,5,3,688,0
5,56,57,True,0.6629835155682001,0.12,0,4,190,0
6,66,21,True,0.6213383006314468,0.12,7,11,1955,1
7,21,20,True,0.721612603366202,0.12,8,6,1744,1
8,20,24,True,0.09496352691586075,0.12,9,7,79,1
9,24,23,True,0.590995634970439,0.12,10,8,1695,1
10,23,65,True,0.4742754916875583,0.12,11,9,1702,1
11,65,66,True,0.3554023827602209,0.12,6,10,811,1
12,81,72,True,0.6415964439193913,0.12,13,17,261,2
13,72,73,True,0.564986324266969,0.12,14,12,21,2
14,73,75,True,0.4603985208592044,0.12,15,13,196,2
15,75,74,True,0.43005566164499204,0.12,16,14,4409,2
16,74,80,True,0.5909308995187196,0.12,17,15,2002,2
17,80,81,True,0.12551284884818284,0.12,12,16,244,2
18,85,3,True,0.5538331784991192,0.12,19,23,279,3
19,3,4,True,0.519948934074078,0.12,20,18,201,3
20,4,73,True,0.36552450178761325,0.12,21,19,197,3
21,73,72,True,0.564986324266969,0.12,22,20,13,3
22,72,84,True,0.21889120061655243,0.12,23,21,260,3
23,84,85,True,0.5758954533127683,0.12,18,22,271,3
24,107,103,True,0.7231626963480543,0.12,25,29,2284,4
25,103,106,True,0.600551328827921,0.12,26,24,357,4
26,106,105,True,0.3814290567745336,0.12,27,25,343,4
27,105,104,True,0.49720692404416766,0.12,28,26,339,4
28,104,108,True,0.6308769327131436,0.12,29,27,34,4
29,108,107,True,0.018333638112647384,0.12,24,28,2294,4
30,104,98,True,0.3326279802148638,0.12,31,34,338,5
31,98,100,True,0.5395723907682164,0.12,32,30,301,5
32,100,99,True,0.6250770351307336,0.12,33,31,297,5
33,99,108,True,0.735100314488229,0.12,34,32,2295,5
34,108,104,True,0.6308769327131436,0.12,30,33,28,5
35,117,97,True,0.4361965764719605,0.12,36,40,325,6
36,97,96,True,0.5791755717261947,0.12,37,35,333,6
37,96,86,True,0.6476800947839693,0.12,38,36,307,6
38,86,7,True,0.19633264028169423,0.12,39,37,949,6
39,7,118,True,0.56220727379049,0.12,40,38,291,6
40,118,117,True,0.3967040581738529,0.12,35,39,548,6
41,149,11,True,0.6260031083171981,0.12,42,46,48,7
42,11,10,True,0.5991486584940561,0.12,43,41,481,7
43,10,147,True,0.20122476285964014,0.12,44,42,506,7
44,147,146,True,0.6416554939166816,0.12,45,43,451,7
45,146,150,False,0.4441105706824446,0.12,46,44,-1,7
46,150,149,False,0.4155225653007206,0.12,41,45,-1,7
47,151,11,True,0.2583772794609045,0.12,48,52,482,8
48,11,149,True,0.6260031083171981,0.12,49,47,41,8
49,149,148,False,0.39371756519764767,0.12,50,48,-1,8
50,148,38,False,0.4652525560778097,0.12,51,49,-1,8
51,38,152,True,0.6174753367004708,0.12,52,50,108,8
52,152,151,True,0.556840734658901,0.12,47,51,474,8
53,184,181,True,0.6822683689185883,0.12,54,58,63,9
54,181,182,True,0.06785177374116613,0.12,55,53,573,9
55,182,179,True,0.6914762486214924,0.12,56,54,597,9
56,179,180,True,0.6637159365278807,0.12,57,55,626,9
57,180,183,False,0.47225312471667275,0.12,58,56,-1,9
58,183,184,False,0.3863703031080639,0.12,53,57,-1,9
59,184,175,False,0.4227179147193632,0.12,60,63,-1,10
60,175,17,False,0.43701006055817865,0.12,61,59,-1,10
61,17,176,True,0.7054494929413739,0.12,62,60,578,10
62,176,181,True,0.7369535566553751,0.12,63,61,574,10
