id,v_out_id,v_in_id,is_interior,length,line_tension,left_dbond,right_dbond,conj_dbond,dbond_face
0,57,53,True,0.3717092345248703,0.12,1,5,204,0
1,53,54,True,0.5293683117413498,0.12,2,0,121,0
2,54,45,True,0.5043918496035928,0.12,3,1,155,0
3,45,30,True,0.43589528152389473,0.12,4,2,1774,0
4,30,56,True,0.42757013489839185,0.12,5,3,688,0
5,56,57,True,0.5311614891650989,0.12,0,4,190,0
6,66,21,True,0.5179894702044477,0.12,7,11,1955,1
7,21,20,True,0.5321429069363456,0.12,8,6,1744,1
8,20,24,True,0.40145684405336535,0.12,9,7,79,1
9,24,23,True,0.42932979571838303,0.12,10,8,1695,1
10,23,65,True,0.4887191828226413,0.12,11,9,1702,1
11,65,66,True,0.40582839074557353,0.12,6,10,811,1
12,81,72,True,0.4513610992952121,0.12,13,17,261,2
13,72,73,True,0.5388901673637474,0.12,14,12,21,2
14,73,75,True,0.4331962084227898,0.12,15,13,196,2
15,75,74,True,0.4759195238514412,0.12,16,14,4409,2
16,74,80,True,0.4983308208808137,0.12,17,15,2002,2
17,80,81,True,0.4163957325103176,0.12,12,16,244,2
18,85,3,True,0.5441390735041572,0.12,19,23,279,3
19,3,4,True,0.4485982544363749,0.12,20,18,201,3
20,4,73,True,0.46402006530590395,0.12,21,19,197,3
21,73,72,True,0.5388901673637474,0.12,22,20,13,3
22,72,84,True,0.4288315201167546,0.12,23,21,260,3
23,84,85,True,0.41079423861993614,0.12,18,22,271,3
24,107,103,True,0.5185588179525171,0.12,25,29,2284,4
25,103,106,True,0.5263316621078356,0.12,26,24,357,4
26,106,105,True,0.43277431304015845,0.12,27,25,343,4
27,105,104,True,0.36668764066318277,0.12,28,26,339,4
28,104,108,True,0.5948054873756902,0.12,29,27,34,4
29,108,107,True,0.35033205688617286,0.12,24,28,2294,4
30,104,98,True,0.46733837320986676,0.12,31,34,338,5
31,98,100,True,0.47431201868593986,0.12,32,30,301,5
32,100,99,True,0.5903463678177687,0.12,33,31,297,5
33,99,108,True,0.4544927552915026,0.12,34,32,2295,5
34,108,104,True,0.5948054873756902,0.12,30,33,28,5
35,117,97,True,0.4721122458630314,0.12,36,40,325,6
36,97,96,True,0.4526222193906237,0.12,37,35,333,6
37,96,86,True,0.4835787942319034,0.12,38,36,307,6
38,86,7,True,0.45842195874244107,0.12,39,37,949,6
39,7,118,True,0.4526555028171507,0.12,40,38,291,6
40,118,117,True,0.4775493661304852,0.12,35,39,548,6
41,149,11,True,0.46957210411748546,0.12,42,46,48,7
42,11,10,True,0.47064160906878383,0.12,43,41,481,7
43,10,147,True,0.42361827761020066,0.12,44,42,506,7
44,147,146,True,0.4882279300822207,0.12,45,43,451,7
45,146,150,False,0.4814352402433928,0.12,46,44,-1,7
46,150,149,False,0.4814176669812899,0.12,41,45,-1,7
47,151,11,True,0.4497406701617047,0.12,48,52,482,8
48,11,149,True,0.46957210411748546,0.12,49,47,41,8
49,149,148,False,0.49384865157764635,0.12,50,48,-1,8
50,148,38,False,0.49384351056906534,0.12,51,49,-1,8
51,38,152,True,0.4713053227072543,0.12,52,50,108,8
52,152,151,True,0.4414864784064987,0.12,47,51,474,8
53,184,181,True,0.6020994489808846,0.12,54,58,63,9
54,181,182,True,0.3968214250040193,0.12,55,53,573,9
55,182,179,True,0.5189151485420304,0.12,56,54,597,9
56,179,180,True,0.5019391215800059,0.12,57,55,626,9
57,180,183,False,0.37072773901400236,0.12,58,56,-1,9
58,183,184,False,0.3707320199064953,0.12,53,57,-1,9
59,184,175,False,0.5486914403284703,0.12,60,63,-1,10
60,175,17,False,0.5487003744245225,0.12,61,59,-1,10
61,17,176,True,0.6012271355918186,0.12,62,60,578,10
62,176,181,True,0.41173417125505246,0.12,63,61,574,10
63,181,184,True,0.6020994489808846,0.12,59,62,53,10
64,191,185,True,0.5275417289524961,0.12,65,69,925,11
65,185,188,True,0.4109861680346811,0.12,66,64,2999,11
66,188,190,True,0.4550890610969605,0.12,67,65,3007,11
67,190,186,True,0.4977442270062382,0.12,68,66,591,11
68,186,192,True,0.46610758875194397,0.12,69,67,73,11
69,192,191,True,0.4174429987689014,0.12,64,68,614,11
70,197,195,False,0.4525748914131163,0.12,71,75,-1,12
71,195,194,False,0.452564320192259,0.12,72,70,-1,12
72,194,192,True,0.4928737089770817,0.12,73,71,615,12
73,192,186,True,0.46610758875194397,0.12,74,72,68,12
74,186,196,True,0.42790542986345936,0.12,75,73,590,12
75,196,197,True,0.49490030745827607,0.12,70,74,586,12
76,209,18,True,0.45590508750025727,0.12,77,81,633,13
77,18,22,True,0.46996061742757783,0.12,78,76,602,13
78,22,24,True,0.4807035942600981,0.12,79,77,1696,13
79,24,20,True,0.40145684405336535,0.12,80,78,8,13
80,20,208,True,0.5129540419864255,0.12,81,79,1743,13
81,208,209,True,0.44970384018265064,0.12,76,80,83,13
82,211,209,True,0.4893787137233586,0.12,83,87,634,14
83,209,208,True,0.44970384018265064,0.12,84,82,81,14
84,208,207,True,0.43330117996013995,0.12,85,83,1742,14
85,207,206,True,0.5091915726528901,0.12,86,84,1732,14
86,206,210,False,0.4574579771562437,0.12,87,85,-1,14
87,210,211,False,0.4574828549606193,0.12,82,86,-1,14
88,218,214,True,0.4530297033633415,0.12,89,93,1689,15
89,214,216,True,0.49358336624178795,0.12,90,88,1685,15
90,216,217,True,0.42864400251470813,0.12,91,89,638,15
91,217,215,True,0.49944773627476735,0.12,92,90,3018,15
92,215,219,True,0.4164371743043828,0.12,93,91,2994,15
93,219,218,True,0.4647349329238765,0.12,88,92,890,15
94,233,28,True,0.4044635335484198,0.12,95,100,105,16
95,28,61,True,0.4700197943566463,0.12,96,94,669,16
96,61,59,True,0.4047263426070866,0.12,97,95,4427,16
97,59,227,True,0.4346638639050846,0.12,98,96,179,16
98,227,228,True,0.4623685673237526,0.12,99,97,169,16
99,228,234,True,0.38946124123923676,0.12,100,98,704,16
100,234,233,True,0.4058429344389796,0.12,94,99,711,16
101,235,31,False,0.3656312846673113,0.12,102,106,-1,17
102,31,1,False,0.3656213086258118,0.12,103,101,-1,17
103,1,29,True,0.5097512304425236,0.12,104,102,656,17
104,29,28,True,0.5062979655043642,0.12,105,103,670,17
105,28,233,True,0.4044635335484198,0.12,106,104,94,17
106,233,235,True,0.601367510967524,0.12,101,105,710,17
107,239,152,True,0.47767991564126555,0.12,108,112,475,18
108,152,38,True,0.4713053227072543,0.12,109,107,51,18
109,38,37,False,0.4768814392376325,0.12,110,108,-1,18
110,37,36,False,0.4768700800027715,0.12,111,109,-1,18
111,36,237,True,0.49413805388688536,0.12,112,110,721,18
112,237,239,True,0.4116895352141624,0.12,107,111,717,18
113,241,39,True,0.3654804309395789,0.12,114,118,3110,19
114,39,2,True,0.5587075437433953,0.12,115,113,144,19
115,2,44,True,0.45321946170919725,0.12,116,114,149,19
116,44,55,True,0.4383827035214524,0.12,117,115,157,19
117,55,243,True,0.49948194982093536,0.12,118,116,119,19
118,243,241,True,0.5036736665619747,0.12,113,117,284,19
119,243,55,True,0.49948194982093536,0.12,120,124,117,20
120,55,54,True,0.420263227132827,0.12,121,119,156,20
121,54,53,True,0.5293683117413498,0.12,122,120,1,20
122,53,52,True,0.4431885548769903,0.12,123,121,203,20
123,52,242,True,0.4857505888912393,0.12,124,122,277,20
124,242,243,True,0.4390118005127873,0.12,119,123,285,20
125,250,246,True,0.5702195226453255,0.12,126,129,741,21
126,246,247,True,0.4823088578457136,0.12,127,125,135,21
127,247,248,True,0.44823188849803913,0.12,128,126,141,21
128,248,249,True,0.5890002237198232,0.12,129,127,147,21
129,249,250,True,0.4833369996137175,0.12,125,128,3104,21
130,246,48,True,0.38544825504195485,0.12,131,135,740,22
131,48,50,True,0.508615952170338,0.12,132,130,458,22
132,50,34,True,0.4911411932805571,0.12,133,131,727,22
133,34,41,True,0.4333642633100373,0.12,134,132,1835,22
134,41,247,True,0.43779884194415125,0.12,135,133,136,22
135,247,246,True,0.4823088578457136,0.12,130,134,126,22
136,247,41,True,0.43779884194415125,0.12,137,141,134,23
137,41,42,True,0.4662963712611756,0.12,138,136,1834,23
138,42,43,True,0.46262290603058037,0.12,139,137,1842,23
139,43,40,True,0.5240454384429972,0.12,140,138,151,23
140,40,248,True,0.4089353971944589,0.12,141,139,142,23
141,248,247,True,0.44823188849803913,0.12,136,140,127,23
142,248,40,True,0.4089353971944589,0.12,143,147,140,24
143,40,2,True,0.3863661223995768,0.12,144,142,150,24
144,2,39,True,0.5587075437433953,0.12,145,143,114,24
145,39,245,True,0.5420913643938862,0.12,146,144,3109,24
146,245,249,True,0.3236373668626305,0.12,147,145,3105,24
147,249,248,True,0.5890002237198232,0.12,142,146,128,24
148,252,44,True,0.5710054405651844,0.12,149,153,158,25
149,44,2,True,0.45321946170919725,0.12,150,148,115,25
150,2,40,True,0.3863661223995768,0.12,151,149,143,25
151,40,43,True,0.5240454384429972,0.12,152,150,139,25
152,43,251,True,0.47829680112033524,0.12,153,151,1841,25
153,251,252,True,0.42947330463097994,0.12,148,152,1786,25
154,253,45,True,0.49950339653101133,0.12,155,159,1775,26
155,45,54,True,0.5043918496035928,0.12,156,154,2,26
156,54,55,True,0.420263227132827,0.12,157,155,120,26
157,55,44,True,0.4383827035214524,0.12,158,156,116,26
158,44,252,True,0.5710054405651844,0.12,159,157,148,26
159,252,253,True,0.4182297746846645,0.12,154,158,1785,26
160,270,266,True,0.44206995648303743,0.12,161,165,1175,27
161,266,267,True,0.5060923037629141,0.12,162,160,1171,27
162,267,265,True,0.42017065913316337,0.12,163,161,1037,27
163,265,264,True,0.5103819691427514,0.12,164,162,1052,27
164,264,269,True,0.5604211308823709,0.12,165,163,2784,27
165,269,270,True,0.4142383674657078,0.12,160,164,2780,27
166,282,229,True,0.451071078221041,0.12,167,171,699,28
167,229,230,True,0.42397664797623597,0.12,168,166,682,28
168,230,228,True,0.5145989687113353,0.12,169,167,705,28
169,228,227,True,0.4623685673237526,0.12,170,168,98,28
170,227,281,True,0.4951674327791737,0.12,171,169,178,28
171,281,282,True,0.455057437416459,0.12,166,170,186,28
172,287,285,True,0.6751907441911899,0.12,173,176,193,29
173,285,284,True,0.44708056229118454,0.12,174,172,188,29
174,284,283,True,0.4123597424848452,0.12,175,173,182,29
175,283,286,True,0.5761941407020263,0.12,176,174,4415,29
176,286,287,True,0.6099391303555295,0.12,172,175,199,29
177,284,281,True,0.4767419480852326,0.12,178,182,187,30
178,281,227,True,0.4951674327791737,0.12,179,177,170,30
179,227,59,True,0.4346638639050846,0.12,180,178,97,30
180,59,58,True,0.5777706814497184,0.12,181,179,4426,30
181,58,283,True,0.41236445884169715,0.12,182,180,4416,30
182,283,284,True,0.4123597424848452,0.12,177,181,174,30
183,285,279,True,0.412780045537886,0.12,184,188,192,31
184,279,280,True,0.4600505884612964,0.12,185,183,686,31
185,280,282,True,0.4816869164716803,0.12,186,184,700,31
186,282,281,True,0.455057437416459,0.12,187,185,171,31
187,281,284,True,0.4767419480852326,0.12,188,186,177,31
188,284,285,True,0.44708056229118454,0.12,183,187,173,31
189,287,57,True,0.6233858503108963,0.12,190,193,205,32
190,57,56,True,0.5311614891650989,0.12,191,189,5,32
191,56,279,True,0.45805505134036484,0.12,192,190,687,32
192,279,285,True,0.412780045537886,0.12,193,191,183,32
193,285,287,True,0.6751907441911899,0.12,189,192,172,32
194,286,62,True,0.3575127607207723,0.12,195,199,4414,33
195,62,75,True,0.48445618374660154,0.12,196,194,4410,33
196,75,73,True,0.4331962084227898,0.12,197,195,14,33
197,73,4,True,0.46402006530590395,0.12,198,196,20,33
198,4,287,True,0.577088187878988,0.12,199,197,200,33
199,287,286,True,0.6099391303555295,0.12,194,198,176,33
200,287,4,True,0.577088187878988,0.12,201,205,198,34
201,4,3,True,0.4485982544363749,0.12,202,200,19,34
202,3,52,True,0.4655288089425419,0.12,203,201,278,34
203,52,53,True,0.4431885548769903,0.12,204,202,122,34
204,53,57,True,0.3717092345248703,0.12,205,203,0,34
205,57,287,True,0.6233858503108963,0.12,200,204,189,34
206,302,295,True,0.47634455700388184,0.12,207,211,216,35
207,295,294,True,0.48521139540336583,0.12,208,206,824,35
208,294,291,True,0.4766614868051659,0.12,209,207,855,35
209,291,289,True,0.5602671091160382,0.12,210,208,805,35
210,289,304,True,0.37600966036598277,0.12,211,209,819,35
211,304,302,True,0.5185899122925651,0.12,206,210,874,35
212,303,301,True,0.5695877633417848,0.12,213,217,881,36
213,301,300,True,0.3730130996945598,0.12,214,212,930,36
214,300,292,True,0.5097214982193463,0.12,215,213,2097,36
215,292,295,True,0.5101010276616608,0.12,216,214,825,36
216,295,302,True,0.47634455700388184,0.12,217,215,206,36
217,302,303,True,0.4214156442069684,0.12,212,216,873,36
218,320,316,True,0.4930349232697139,0.12,219,222,4051,37
219,316,70,True,0.61591389654552,0.12,220,218,4060,37
220,70,71,True,0.45338966858358376,0.12,221,219,225,37
221,71,317,True,0.5818614988678049,0.12,222,220,2019,37
222,317,320,True,0.551140174765161,0.12,218,221,2015,37
223,326,68,True,0.4991934179293361,0.12,224,229,3274,38
224,68,71,True,0.42388621986619296,0.12,225,223,2020,38
225,71,70,True,0.45338966858358376,0.12,226,224,220,38
226,70,69,True,0.3947686990395019,0.12,227,225,4059,38
227,69,321,True,0.3512542744915228,0.12,228,226,2073,38
228,321,327,True,0.5138079207600251,0.12,229,227,2080,38
229,327,326,True,0.35030508635159313,0.12,223,228,944,38
230,330,77,True,0.6401046757197917,0.12,231,234,239,39
231,77,79,True,0.4493920104465043,0.12,232,230,2055,39
232,79,83,True,0.5705516745891185,0.12,233,231,255,39
233,83,331,True,0.5038276157538624,0.12,234,232,241,39
234,331,330,True,0.47711083945948324,0.12,230,233,1990,39
235,332,296,True,0.45951122713493253,0.12,236,240,848,40
236,296,298,True,0.5399365264821876,0.12,237,235,829,40
237,298,76,True,0.5432149007790006,0.12,238,236,2038,40
238,76,77,True,0.3076343783053241,0.12,239,237,2056,40
239,77,330,True,0.6401046757197917,0.12,240,238,230,40
240,330,332,True,0.3832151003148672,0.12,235,239,1989,40
241,331,83,True,0.5038276157538624,0.12,242,246,233,41
242,83,82,True,0.40120398322243567,0.12,243,241,254,41
243,82,81,True,0.5064023297344878,0.12,244,242,262,41
244,81,80,True,0.4163957325103176,0.12,245,243,17,41
245,80,334,True,0.5468560060728118,0.12,246,244,2001,41
246,334,331,True,0.40495667383257694,0.12,241,245,1991,41
247,340,336,True,0.4676192942215931,0.12,248,252,2045,42
248,336,335,True,0.508321967140615,0.12,249,247,794,42
249,335,338,True,0.5159716341929732,0.12,250,248,273,42
250,338,337,True,0.4067232314045804,0.12,251,249,264,42
251,337,339,True,0.4720219170033153,0.12,252,250,258,42
252,339,340,True,0.44316824691270035,0.12,247,251,2049,42
253,337,82,True,0.45362804475332874,0.12,254,258,263,43
254,82,83,True,0.40120398322243567,0.12,255,253,242,43
255,83,79,True,0.5705516745891185,0.12,256,254,232,43
256,79,78,True,0.3467354137288953,0.12,257,255,2054,43
257,78,339,True,0.5272823867156212,0.12,258,256,2050,43
258,339,337,True,0.4720219170033153,0.12,253,257,251,43
259,338,84,True,0.5503646943042556,0.12,260,264,272,44
260,84,72,True,0.4288315201167546,0.12,261,259,22,44
261,72,81,True,0.4513610992952121,0.12,262,260,12,44
262,81,82,True,0.5064023297344878,0.12,263,261,243,44
263,82,337,True,0.45362804475332874,0.12,264,262,253,44
264,337,338,True,0.4067232314045804,0.12,259,263,250,44
265,344,341,True,0.451704911629098,0.12,266,269,281,45
266,341,342,True,0.5950959115698476,0.12,267,265,275,45
267,342,343,True,0.4724307528671547,0.12,268,266,792,45
268,343,345,True,0.5788451707917627,0.12,269,267,3091,45
269,345,344,True,0.4885711045445878,0.12,265,268,287,45
270,341,85,True,0.38921997751339454,0.12,271,275,280,46
271,85,84,True,0.41079423861993614,0.12,272,270,23,46
272,84,338,True,0.5503646943042556,0.12,273,271,259,46
273,338,335,True,0.5159716341929732,0.12,274,272,249,46
274,335,342,True,0.33997518480162925,0.12,275,273,793,46
275,342,341,True,0.5950959115698476,0.12,270,274,266,46
276,344,242,True,0.44272011398843714,0.12,277,281,286,47
277,242,52,True,0.4857505888912393,0.12,278,276,123,47
278,52,3,True,0.4655288089425419,0.12,279,277,202,47
279,3,85,True,0.5441390735041572,0.12,280,278,18,47
280,85,341,True,0.38921997751339454,0.12,281,279,270,47
281,341,344,True,0.451704911629098,0.12,276,280,265,47
282,345,244,True,0.37866546983437094,0.12,283,287,3090,48
283,244,241,True,0.5159439523785736,0.12,284,282,3111,48
284,241,243,True,0.5036736665619747,0.12,285,283,118,48
