id,x,y,num_sides,area,perimeter,mother,A_0,P_0,contractility,active
0,-3.1121407642806065,-8.614476536405158,6,0.5830203209675986,2.858093763960957,0,1.0,0.0,0.04,1
1,5.209403770455442,-7.7775523013422845,6,0.5377251312755931,2.7417808332402536,1,1.0,0.0,0.04,1
2,-1.1200132200674442,-7.696803036753101,6,0.5850096470946418,2.865995377970092,2,1.0,0.0,0.04,1
3,-1.8360146081555895,-7.489095005190537,6,0.5919085333785707,2.885683349555966,3,1.0,0.0,0.04,1
4,-5.291024755996684,8.697197494912892,6,0.4940070876096385,2.68463300144246,4,1.0,0.0,0.04,1
5,-5.749951474925355,8.348982321504153,5,0.3078607099855404,2.248140996608096,5,1.0,0.0,0.04,1
6,-5.984824580608674,6.773371053006277,5,0.44782152574379097,2.571699204390276,6,1.0,0.0,0.04,1
7,-8.637118775876552,-6.4908637505857705,3,0.16122227561583102,1.8520162457288194,7,1.0,0.0,0.04,1
8,-8.415459446238598,-6.981734455916117,6,0.5739014967236393,2.9305469353443083,8,1.0,0.0,0.04,1
10,8.08610313222712,-6.77024276748569,3,0.21915133475298632,2.1627884127969508,10,1.0,0.0,0.04,1
11,9.002281772172791,-3.9251661944224656,7,0.6058765491479896,2.9552156484038457,11,1.0,0.0,0.04,1
12,9.484323386875756,-4.323729972892338,3,0.15048317604493278,1.8088006788517448,12,1.0,0.0,0.04,1
13,6.033540347276959,-7.999947902779457,6,0.5925416175567157,2.9792106796323776,13,1.0,0.0,0.04,1
15,6.213127863707493,-5.297161835662776,6,0.5141667617181618,2.7299474329988547,15,1.0,0.0,0.04,1
16,-1.1741993518531946,-10.687987202372149,7,0.642961513466358,2.976746060830461,16,1.0,0.0,0.04,1
17,-0.3532670792303631,-11.169409018517316,6,0.5697542158247213,2.909312551462112,17,1.0,0.0,0.04,1
18,-8.264128796709103,-7.55379613365715,3,0.16460330792890332,1.9315080071393407,18,1.0,0.0,0.04,1
19,-3.845510144985285,-7.3830207667446475,7,0.574477334993226,2.8669327113488827,19,1.0,0.0,0.04,1
20,-3.136909867901639,-7.7735175550645765,6,0.5592826078122766,2.7864133467105345,20,1.0,0.0,0.04,1
21,-4.684183146404268,-6.566546368377875,6,0.5333779996788568,2.783422081495588,21,1.0,0.0,0.04,1
